PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130202;0;4;5392;ReprEvadiu;2;13;0;0;0;0;0.122589021;0.134643917;0.742767062;0;661;726;4005;0;4;0;8;1460;0;0;6;59
20130202;37;31;67163;Sucesso;12;108;8223;17;4391;0;0.088367107;0.251775531;0.659857362;0;5935;16910;44318;0;11;0;30;6964;3;2739;54;477
20130202;11;21;53694;Sucesso;30;65;7591;0;0;0.015942191;0.248091034;0.524751369;0.211215406;856;13321;28176;11341;0;4;0;41;7952;3;4422;54;298
20130202;4;17;18455;Sucesso;9;30;2238;0;190;0;0.096992685;0.536494175;0.36651314;0;1790;9901;6764;0;5;0;17;3442;1;735;15;161
20130202;2;15;32356;Sucesso;8;37;361;70;7054;0.030318952;0;0.014031401;0.955649648;981;0;454;30921;0;7;0;34;10611;1;2411;85;238
20130202;1;7;8581;Sucesso;5;18;0;0;0;0;0;0.364759352;0.635240648;0;0;3130;5451;0;1;0;16;2997;0;21;5;66
20130202;27;20;38842;Sucesso;18;71;7055;0;0;0;0.045903918;0.174012667;0.780083415;0;1783;6759;30300;0;3;0;58;11363;2;1553;32;300
20130202;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130202;5;19;28526;Sucesso;9;34;1253;0;0;0;0.120276239;0.518474374;0.361249387;0;3431;14790;10305;0;25;0;26;6343;2;4652;26;174
20130202;12;19;46335;Sucesso;15;66;4645;0;448;0;0.414179346;0.543368944;0.04245171;0;19191;25177;1967;0;4;0;61;8790;3;3037;40;348
