PeriodoLetivo;Login_Quantidade;Numero_Dias_Acessados_Modulo_Somado;Turno_TempoUsoTotal_Somado;Evadido;Forum_Quantidade_Post_Somado;Forum_Quantidade_Visualizacoes_Somado;Forum_TempoUso_Somado;Chat_Quantidade_Mensagens_Somado;Chat_TempoUso_Somado;Turno_PercentualUsoMadrugada_Somado;Turno_PercentualUsoManha_Somado;Turno_PercentualUsoTarde_Somado;Turno_PercentualUsoNoite_Somado;Turno_TempoUsoMadrugada_Somado;Turno_TempoUsoManha_Somado;Turno_TempoUsoTarde_Somado;Turno_TempoUsoNoite_Somado;Assignment_Post_Quantidade_Somado;Assignment_View_Quantidade_Somado;Assignment_View_TempoUso_Somado;Resource_View_Quantidade_Somado;Resource_View_Tempo_Somado;Questionario_Quantidade_Somado;Questionario_TempoUso_Somado;Log_Post_Quantidade_Somado;Log_View_Quantidade_Somado
20130102;3;15;44003;Sucesso;1;4;0;1;109;0;0.119582756;0.592527782;0.287889462;0;5262;26073;12668;0;14;0;104;23691;0;0;10;214
20130102;0;3;3756;ReprEvadiu;1;3;0;0;0;0;0.030617678;0.417731629;0.551650692;0;115;1569;2072;0;9;0;8;1006;0;0;15;35
20130102;0;0;0;ReprEvadiu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20130102;2;22;24601;ReprEvadiu;2;18;0;0;305;0;0.245803016;0.176415593;0.577781391;0;6047;4340;14214;0;13;0;81;13973;0;0;8;203
20130102;0;13;11996;ReprEvadiu;1;4;0;0;0;0.550100033;0.029676559;0;0.420223408;6599;356;0;5041;0;4;0;22;5177;0;0;3;80
20130102;0;4;4663;ReprEvadiu;0;8;0;0;300;0;0.064336264;0.142183144;0.793480592;0;300;663;3700;0;0;0;12;2035;0;0;0;37
20130102;5;18;30961;Sucesso;0;13;365;0;1291;0.00968961;0.021672427;0.058202254;0.910435709;300;671;1802;28188;0;11;0;65;9729;0;0;4;225
20130102;0;8;8252;ReprEvadiu;0;5;0;18;2273;0.135118759;0;0.289990305;0.574890936;1115;0;2393;4744;0;3;0;18;3264;0;0;18;44
20130102;0;17;45021;ReprEvadiu;3;18;0;0;29;0.007041159;0.321294507;0.501632571;0.170031763;317;14465;22584;7655;0;13;0;71;16397;0;0;5;258
20130102;4;22;31013;ReprEvadiu;1;17;0;0;30;0.023409538;0.023699739;0.527520717;0.425370006;726;735;16360;13192;0;12;0;76;15067;0;0;7;221
